,first,second
48,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet."
49,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.
50,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Exercise is a good way to release this tension.
51,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You are clever, witty, and always have a joke or comeback ready for any situation."
52,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.
53,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are quick to grasp new concepts.
54,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are equally quick to lose interest in an idea or project once your curiosity has been satisfied.
55,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You like to taste a little bit of everything.
56,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",concentration and disciplined study are not your strong points.
57,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are handy with your hands.
58,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You may be ambidextrous or mechanically inclined.
59,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Debate and argument appeal to you.
60,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.
61,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","This is the jack-of-all-trades, master-of-none position."
62,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","There is danger, then, of superficiality."
63,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Control of thought, word, and action is necessary in order to be successful."
64,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Find your focus, stay with it and develop perseverance."
65,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Journalism, speaking, teaching, sales, advertising, or writing may appeal to you."
66,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety."
67,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You grasp concepts easily.
68,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You may become impatient with those who do n't learn as quickly.
69,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","If you have Venus in Taurus, in love affairs you are generally loyal, especially if your partner is demonstrative and affectionate."
70,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","If you have Venus in Taurus, in love affairs you are generally steady, especially if your partner is demonstrative and affectionate."
71,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are oriented towards the sensual side of life in everything you do.
72,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",it may show through too much weight.
73,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are tremendously responsive to beauty.
74,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are tremendously responsive to physical appearances.
75,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",the physical attractiveness of your partner is very important to you.
76,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You enjoy indulging yourself.
77,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You enjoy indulging the ones you love.
78,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",it is too easy for you to be extravagant.
79,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",it is too easy for you to put too much value in material things.
80,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Comfort is important to you.
81,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",you hate getting your hands dirty.
82,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","At times you can be lazy, hoping or expecting someone else to do the dirty work."
83,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic."
84,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Guard against possessiveness, jealousy, and taking the easy way out in your relationships."
85,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You aim to please in practical ways.
86,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You aim to please in earthy ways.
87,You have an ingenious mind.,You have an active mind.
88,You have an ingenious mind.,You have an alert mind.
89,You have an ingenious mind.,Gaining knowledge and putting it to good use are important to you.
90,You have an ingenious mind.,You strive for perfection.
91,You have an ingenious mind.,You can be quite the person to live with or to be around because your standards for yourself and others are so high.
92,You have an ingenious mind.,"At times others can never be ""good"" enough to meet those high standards."
93,You have an ingenious mind.,Finding fault with what's wrong with things is your forte.
94,You have an ingenious mind.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
95,You have an ingenious mind.,Pessimism and being too self-critical are two faults you should try to improve upon.
96,You have an ingenious mind.,"You may tend to worry too much, especially about the small stuff, the little details."
97,You have an ingenious mind.,Too much worry can lead to health problems.
98,You have an ingenious mind.,You need to learn to digest every experience.
99,You have an ingenious mind.,"You need to learn to assimilate it without bitterness, regret, spite or resentment."
100,You have an ingenious mind.,You need to get rid of any negativity that stems from a feeling of inadequacy.
101,You have an ingenious mind.,"You tend to look younger than you really are, no matter what your age."
102,You have an ingenious mind.,You are very restless.
103,You have an ingenious mind.,You are very nervous.
104,You have an ingenious mind.,you seldom have much weight on you.
105,You have an ingenious mind.,At times you can be very indecisive.
106,You have an ingenious mind.,At times you can be very unsure.
107,You have an ingenious mind.,"If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed."
108,You have an ingenious mind.,You soak up feelings like a sponge.
109,You have an ingenious mind.,"Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling."
110,You have an ingenious mind.,"Learning to control your own moods may be very difficult, yet necessary, for you."
111,You have an ingenious mind.,Your greatest need is to nurture and mother someone or ones.
112,You have an ingenious mind.,You often appear irrational to others because you can't always explain the reason or source of your feelings.
113,You have an ingenious mind.,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.
114,You have an ingenious mind.,You are also very sympathetic and understand the unspoken feelings and needs of others.
115,You have an ingenious mind.,You take slights very personally.
116,You have an ingenious mind.,"though you may forgive a mistake by a friend or loved one , you never forget it."
117,You have an ingenious mind.,Security is very important to you.
118,You have an ingenious mind.,you look for it in home.
119,You have an ingenious mind.,you look for it in family.
120,You have an ingenious mind.,you look for it in life.
121,You have an ingenious mind.,Your senses and emotions are quite strong.
122,You have an ingenious mind.,it would be wise for you to listen to your intuitive side as you can be quite psychic.
123,You have an ingenious mind.,You are very tenacious.
124,You have an ingenious mind.,you do not give up or let go of things or people easily.
125,You have an ingenious mind.,Your mother is/was a strong influence for good or ill in your life.
126,You have an ingenious mind.,You are basically an introvert.
127,You have an ingenious mind.,You will do whatever it takes to protect and defend your family or loved ones.
128,You have an ingenious mind.,You tend to be a pack-rat because everything has an emotional memory behind it.
129,You have an ingenious mind.,you find security in all those memories.
130,You have an ingenious mind.,Nothing or no one is ever gone if they leave their memory behind.
131,You have an ingenious mind.,"Thus, you can become quite possessive."
132,You have an ingenious mind.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts."
133,You have an ingenious mind.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind."
134,You have an ingenious mind.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet."
135,You have an ingenious mind.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.
136,You have an ingenious mind.,Exercise is a good way to release this tension.
137,You have an ingenious mind.,"You are clever, witty, and always have a joke or comeback ready for any situation."
138,You have an ingenious mind.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.
139,You have an ingenious mind.,You are quick to grasp new concepts.
140,You have an ingenious mind.,You are equally quick to lose interest in an idea or project once your curiosity has been satisfied.
141,You have an ingenious mind.,You like to taste a little bit of everything.
142,You have an ingenious mind.,concentration and disciplined study are not your strong points.
143,You have an ingenious mind.,You are handy with your hands.
144,You have an ingenious mind.,You may be ambidextrous or mechanically inclined.
145,You have an ingenious mind.,Debate and argument appeal to you.
146,You have an ingenious mind.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.
147,You have an ingenious mind.,"This is the jack-of-all-trades, master-of-none position."
148,You have an ingenious mind.,"There is danger, then, of superficiality."
149,You have an ingenious mind.,"Control of thought, word, and action is necessary in order to be successful."
150,You have an ingenious mind.,"Find your focus, stay with it and develop perseverance."
151,You have an ingenious mind.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you."
152,You have an ingenious mind.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety."
153,You have an ingenious mind.,You grasp concepts easily.
154,You have an ingenious mind.,You may become impatient with those who do n't learn as quickly.
155,You have an ingenious mind.,"If you have Venus in Taurus, in love affairs you are generally loyal, especially if your partner is demonstrative and affectionate."
156,You have an ingenious mind.,"If you have Venus in Taurus, in love affairs you are generally steady, especially if your partner is demonstrative and affectionate."
157,You have an ingenious mind.,You are oriented towards the sensual side of life in everything you do.
158,You have an ingenious mind.,it may show through too much weight.
159,You have an ingenious mind.,You are tremendously responsive to beauty.
160,You have an ingenious mind.,You are tremendously responsive to physical appearances.
161,You have an ingenious mind.,the physical attractiveness of your partner is very important to you.
162,You have an ingenious mind.,You enjoy indulging yourself.
163,You have an ingenious mind.,You enjoy indulging the ones you love.
164,You have an ingenious mind.,it is too easy for you to be extravagant.
165,You have an ingenious mind.,it is too easy for you to put too much value in material things.
166,You have an ingenious mind.,Comfort is important to you.
167,You have an ingenious mind.,you hate getting your hands dirty.
168,You have an ingenious mind.,"At times you can be lazy, hoping or expecting someone else to do the dirty work."
169,You have an ingenious mind.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic."
170,You have an ingenious mind.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships."
171,You have an ingenious mind.,You aim to please in practical ways.
172,You have an ingenious mind.,You aim to please in earthy ways.
173,You have an active mind.,You have an alert mind.
174,You have an active mind.,Gaining knowledge and putting it to good use are important to you.
175,You have an active mind.,You strive for perfection.
176,You have an active mind.,You can be quite the person to live with or to be around because your standards for yourself and others are so high.
177,You have an active mind.,"At times others can never be ""good"" enough to meet those high standards."
178,You have an active mind.,Finding fault with what's wrong with things is your forte.
179,You have an active mind.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
180,You have an active mind.,Pessimism and being too self-critical are two faults you should try to improve upon.
181,You have an active mind.,"You may tend to worry too much, especially about the small stuff, the little details."
182,You have an active mind.,Too much worry can lead to health problems.
183,You have an active mind.,You need to learn to digest every experience.
184,You have an active mind.,"You need to learn to assimilate it without bitterness, regret, spite or resentment."
185,You have an active mind.,You need to get rid of any negativity that stems from a feeling of inadequacy.
186,You have an active mind.,"You tend to look younger than you really are, no matter what your age."
187,You have an active mind.,You are very restless.
188,You have an active mind.,You are very nervous.
189,You have an active mind.,you seldom have much weight on you.
190,You have an active mind.,At times you can be very indecisive.
191,You have an active mind.,At times you can be very unsure.
192,You have an active mind.,"If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed."
193,You have an active mind.,You soak up feelings like a sponge.
194,You have an active mind.,"Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling."
195,You have an active mind.,"Learning to control your own moods may be very difficult, yet necessary, for you."
196,You have an active mind.,Your greatest need is to nurture and mother someone or ones.
197,You have an active mind.,You often appear irrational to others because you can't always explain the reason or source of your feelings.
198,You have an active mind.,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.
199,You have an active mind.,You are also very sympathetic and understand the unspoken feelings and needs of others.
200,You have an active mind.,You take slights very personally.
201,You have an active mind.,"though you may forgive a mistake by a friend or loved one , you never forget it."
202,You have an active mind.,Security is very important to you.
203,You have an active mind.,you look for it in home.
204,You have an active mind.,you look for it in family.
205,You have an active mind.,you look for it in life.
206,You have an active mind.,Your senses and emotions are quite strong.
207,You have an active mind.,it would be wise for you to listen to your intuitive side as you can be quite psychic.
208,You have an active mind.,You are very tenacious.
209,You have an active mind.,you do not give up or let go of things or people easily.
210,You have an active mind.,Your mother is/was a strong influence for good or ill in your life.
211,You have an active mind.,You are basically an introvert.
212,You have an active mind.,You will do whatever it takes to protect and defend your family or loved ones.
213,You have an active mind.,You tend to be a pack-rat because everything has an emotional memory behind it.
214,You have an active mind.,you find security in all those memories.
215,You have an active mind.,Nothing or no one is ever gone if they leave their memory behind.
216,You have an active mind.,"Thus, you can become quite possessive."
217,You have an active mind.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts."
218,You have an active mind.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind."
219,You have an active mind.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet."
220,You have an active mind.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.
221,You have an active mind.,Exercise is a good way to release this tension.
222,You have an active mind.,"You are clever, witty, and always have a joke or comeback ready for any situation."
223,You have an active mind.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.
224,You have an active mind.,You are quick to grasp new concepts.
225,You have an active mind.,You are equally quick to lose interest in an idea or project once your curiosity has been satisfied.
226,You have an active mind.,You like to taste a little bit of everything.
227,You have an active mind.,concentration and disciplined study are not your strong points.
228,You have an active mind.,You are handy with your hands.
229,You have an active mind.,You may be ambidextrous or mechanically inclined.
230,You have an active mind.,Debate and argument appeal to you.
231,You have an active mind.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.
232,You have an active mind.,"This is the jack-of-all-trades, master-of-none position."
233,You have an active mind.,"There is danger, then, of superficiality."
234,You have an active mind.,"Control of thought, word, and action is necessary in order to be successful."
235,You have an active mind.,"Find your focus, stay with it and develop perseverance."
236,You have an active mind.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you."
237,You have an active mind.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety."
238,You have an active mind.,You grasp concepts easily.
239,You have an active mind.,You may become impatient with those who do n't learn as quickly.
240,You have an active mind.,"If you have Venus in Taurus, in love affairs you are generally loyal, especially if your partner is demonstrative and affectionate."
241,You have an active mind.,"If you have Venus in Taurus, in love affairs you are generally steady, especially if your partner is demonstrative and affectionate."
242,You have an active mind.,You are oriented towards the sensual side of life in everything you do.
243,You have an active mind.,it may show through too much weight.
244,You have an active mind.,You are tremendously responsive to beauty.
