,first,second
111,"Whatever you have set your sights on, you refuse to give up or let go of it.",You have common sense to manage others.
112,"Whatever you have set your sights on, you refuse to give up or let go of it.",You have the ability to manage others.
113,"Whatever you have set your sights on, you refuse to give up or let go of it.",You may be a bit of a perfectionist.
114,"Whatever you have set your sights on, you refuse to give up or let go of it.",Your mind is deep.
115,"Whatever you have set your sights on, you refuse to give up or let go of it.",Your mind is analytical.
116,"Whatever you have set your sights on, you refuse to give up or let go of it.",you probably have a good head for numbers.
117,"Whatever you have set your sights on, you refuse to give up or let go of it.",Your work is usually neat.
118,"Whatever you have set your sights on, you refuse to give up or let go of it.",Your work is usually orderly.
119,"Whatever you have set your sights on, you refuse to give up or let go of it.",you dislike messes.
120,"Whatever you have set your sights on, you refuse to give up or let go of it.",you dislike dirt.
121,"Whatever you have set your sights on, you refuse to give up or let go of it.",You tend to be idealistic.
122,"Whatever you have set your sights on, you refuse to give up or let go of it.",You tend to be optimistic.
123,"Whatever you have set your sights on, you refuse to give up or let go of it.",You tend to be dependable.
124,"Whatever you have set your sights on, you refuse to give up or let go of it.",You tend to be open-minded.
125,"Whatever you have set your sights on, you refuse to give up or let go of it.",You tend to be friendly.
126,"Whatever you have set your sights on, you refuse to give up or let go of it.",You tend to be honest.
127,"Whatever you have set your sights on, you refuse to give up or let go of it.",You tend to be versatile.
128,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are usually outspoken, sometimes to the point of bluntness."
129,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are quiet.
130,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are shy.
131,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are sensitive.
132,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are sentimental.
133,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are gentle.
134,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are romantic.
135,You are patient unless someone takes you too far.,You are usually slow to anger unless someone takes you too far.
136,You are patient unless someone takes you too far.,You are reliable.
137,You are patient unless someone takes you too far.,You are consistent.
138,You are patient unless someone takes you too far.,You can handle more of the workload than most around you.
139,You are patient unless someone takes you too far.,"You prefer a regular routine, defined responsibilities."
140,You are patient unless someone takes you too far.,"You prefer a regular routine, defined tasks."
141,You are patient unless someone takes you too far.,You enjoy building and seeing the results of your hard work.
142,You are patient unless someone takes you too far.,"Keeping things going is your strength, especially once someone else starts them."
143,You are patient unless someone takes you too far.,Money and possessions are important to you for the feelings of security they bring.
144,You are patient unless someone takes you too far.,You are handy with your hands.
145,You are patient unless someone takes you too far.,You may be ambidextrous or mechanically inclined.
146,You are patient unless someone takes you too far.,Debate and argument appeal to you.
147,You are patient unless someone takes you too far.,You grasp concepts easily.
148,You are patient unless someone takes you too far.,You may become impatient with those who do n't learn as quickly.
149,You are patient unless someone takes you too far.,"You are very direct in thought, action, and speech and everyone knows how you feel."
150,You are patient unless someone takes you too far.,You are adventurous.
151,You are patient unless someone takes you too far.,You are courageous.
152,You are patient unless someone takes you too far.,You are independent.
153,You are patient unless someone takes you too far.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
154,You are patient unless someone takes you too far.,You have common sense to manage others.
155,You are patient unless someone takes you too far.,You have the ability to manage others.
156,You are patient unless someone takes you too far.,You may be a bit of a perfectionist.
157,You are patient unless someone takes you too far.,Your mind is deep.
158,You are patient unless someone takes you too far.,Your mind is analytical.
159,You are patient unless someone takes you too far.,you probably have a good head for numbers.
160,You are patient unless someone takes you too far.,Your work is usually neat.
161,You are patient unless someone takes you too far.,Your work is usually orderly.
162,You are patient unless someone takes you too far.,you dislike messes.
163,You are patient unless someone takes you too far.,you dislike dirt.
164,You are patient unless someone takes you too far.,You tend to be idealistic.
165,You are patient unless someone takes you too far.,You tend to be optimistic.
166,You are patient unless someone takes you too far.,You tend to be dependable.
167,You are patient unless someone takes you too far.,You tend to be open-minded.
168,You are patient unless someone takes you too far.,You tend to be friendly.
169,You are patient unless someone takes you too far.,You tend to be honest.
170,You are patient unless someone takes you too far.,You tend to be versatile.
171,You are patient unless someone takes you too far.,"You are usually outspoken, sometimes to the point of bluntness."
172,You are patient unless someone takes you too far.,You are quiet.
173,You are patient unless someone takes you too far.,You are shy.
174,You are patient unless someone takes you too far.,You are sensitive.
175,You are patient unless someone takes you too far.,You are sentimental.
176,You are patient unless someone takes you too far.,You are gentle.
177,You are patient unless someone takes you too far.,You are romantic.
178,You are usually slow to anger unless someone takes you too far.,You are reliable.
179,You are usually slow to anger unless someone takes you too far.,You are consistent.
180,You are usually slow to anger unless someone takes you too far.,You can handle more of the workload than most around you.
181,You are usually slow to anger unless someone takes you too far.,"You prefer a regular routine, defined responsibilities."
182,You are usually slow to anger unless someone takes you too far.,"You prefer a regular routine, defined tasks."
183,You are usually slow to anger unless someone takes you too far.,You enjoy building and seeing the results of your hard work.
184,You are usually slow to anger unless someone takes you too far.,"Keeping things going is your strength, especially once someone else starts them."
185,You are usually slow to anger unless someone takes you too far.,Money and possessions are important to you for the feelings of security they bring.
186,You are usually slow to anger unless someone takes you too far.,You are handy with your hands.
187,You are usually slow to anger unless someone takes you too far.,You may be ambidextrous or mechanically inclined.
188,You are usually slow to anger unless someone takes you too far.,Debate and argument appeal to you.
189,You are usually slow to anger unless someone takes you too far.,You grasp concepts easily.
190,You are usually slow to anger unless someone takes you too far.,You may become impatient with those who do n't learn as quickly.
191,You are usually slow to anger unless someone takes you too far.,"You are very direct in thought, action, and speech and everyone knows how you feel."
192,You are usually slow to anger unless someone takes you too far.,You are adventurous.
193,You are usually slow to anger unless someone takes you too far.,You are courageous.
194,You are usually slow to anger unless someone takes you too far.,You are independent.
195,You are usually slow to anger unless someone takes you too far.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
196,You are usually slow to anger unless someone takes you too far.,You have common sense to manage others.
197,You are usually slow to anger unless someone takes you too far.,You have the ability to manage others.
198,You are usually slow to anger unless someone takes you too far.,You may be a bit of a perfectionist.
199,You are usually slow to anger unless someone takes you too far.,Your mind is deep.
200,You are usually slow to anger unless someone takes you too far.,Your mind is analytical.
201,You are usually slow to anger unless someone takes you too far.,you probably have a good head for numbers.
202,You are usually slow to anger unless someone takes you too far.,Your work is usually neat.
203,You are usually slow to anger unless someone takes you too far.,Your work is usually orderly.
204,You are usually slow to anger unless someone takes you too far.,you dislike messes.
205,You are usually slow to anger unless someone takes you too far.,you dislike dirt.
206,You are usually slow to anger unless someone takes you too far.,You tend to be idealistic.
207,You are usually slow to anger unless someone takes you too far.,You tend to be optimistic.
208,You are usually slow to anger unless someone takes you too far.,You tend to be dependable.
209,You are usually slow to anger unless someone takes you too far.,You tend to be open-minded.
210,You are usually slow to anger unless someone takes you too far.,You tend to be friendly.
211,You are usually slow to anger unless someone takes you too far.,You tend to be honest.
212,You are usually slow to anger unless someone takes you too far.,You tend to be versatile.
213,You are usually slow to anger unless someone takes you too far.,"You are usually outspoken, sometimes to the point of bluntness."
214,You are usually slow to anger unless someone takes you too far.,You are quiet.
215,You are usually slow to anger unless someone takes you too far.,You are shy.
216,You are usually slow to anger unless someone takes you too far.,You are sensitive.
217,You are usually slow to anger unless someone takes you too far.,You are sentimental.
218,You are usually slow to anger unless someone takes you too far.,You are gentle.
219,You are usually slow to anger unless someone takes you too far.,You are romantic.
220,You are reliable.,You are consistent.
221,You are reliable.,You can handle more of the workload than most around you.
222,You are reliable.,"You prefer a regular routine, defined responsibilities."
223,You are reliable.,"You prefer a regular routine, defined tasks."
224,You are reliable.,You enjoy building and seeing the results of your hard work.
225,You are reliable.,"Keeping things going is your strength, especially once someone else starts them."
226,You are reliable.,Money and possessions are important to you for the feelings of security they bring.
227,You are reliable.,You are handy with your hands.
228,You are reliable.,You may be ambidextrous or mechanically inclined.
229,You are reliable.,Debate and argument appeal to you.
230,You are reliable.,You grasp concepts easily.
231,You are reliable.,You may become impatient with those who do n't learn as quickly.
232,You are reliable.,"You are very direct in thought, action, and speech and everyone knows how you feel."
233,You are reliable.,You are adventurous.
234,You are reliable.,You are courageous.
235,You are reliable.,You are independent.
236,You are reliable.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
237,You are reliable.,You have common sense to manage others.
238,You are reliable.,You have the ability to manage others.
239,You are reliable.,You may be a bit of a perfectionist.
240,You are reliable.,Your mind is deep.
241,You are reliable.,Your mind is analytical.
242,You are reliable.,you probably have a good head for numbers.
243,You are reliable.,Your work is usually neat.
244,You are reliable.,Your work is usually orderly.
245,You are reliable.,you dislike messes.
246,You are reliable.,you dislike dirt.
247,You are reliable.,You tend to be idealistic.
248,You are reliable.,You tend to be optimistic.
249,You are reliable.,You tend to be dependable.
250,You are reliable.,You tend to be open-minded.
251,You are reliable.,You tend to be friendly.
252,You are reliable.,You tend to be honest.
253,You are reliable.,You tend to be versatile.
254,You are reliable.,"You are usually outspoken, sometimes to the point of bluntness."
255,You are reliable.,You are quiet.
256,You are reliable.,You are shy.
257,You are reliable.,You are sensitive.
258,You are reliable.,You are sentimental.
259,You are reliable.,You are gentle.
260,You are reliable.,You are romantic.
261,You are consistent.,You can handle more of the workload than most around you.
262,You are consistent.,"You prefer a regular routine, defined responsibilities."
263,You are consistent.,"You prefer a regular routine, defined tasks."
264,You are consistent.,You enjoy building and seeing the results of your hard work.
265,You are consistent.,"Keeping things going is your strength, especially once someone else starts them."
266,You are consistent.,Money and possessions are important to you for the feelings of security they bring.
267,You are consistent.,You are handy with your hands.
268,You are consistent.,You may be ambidextrous or mechanically inclined.
269,You are consistent.,Debate and argument appeal to you.
270,You are consistent.,You grasp concepts easily.
271,You are consistent.,You may become impatient with those who do n't learn as quickly.
272,You are consistent.,"You are very direct in thought, action, and speech and everyone knows how you feel."
273,You are consistent.,You are adventurous.
274,You are consistent.,You are courageous.
275,You are consistent.,You are independent.
276,You are consistent.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
277,You are consistent.,You have common sense to manage others.
278,You are consistent.,You have the ability to manage others.
279,You are consistent.,You may be a bit of a perfectionist.
280,You are consistent.,Your mind is deep.
281,You are consistent.,Your mind is analytical.
282,You are consistent.,you probably have a good head for numbers.
283,You are consistent.,Your work is usually neat.
284,You are consistent.,Your work is usually orderly.
285,You are consistent.,you dislike messes.
286,You are consistent.,you dislike dirt.
287,You are consistent.,You tend to be idealistic.
288,You are consistent.,You tend to be optimistic.
289,You are consistent.,You tend to be dependable.
290,You are consistent.,You tend to be open-minded.
291,You are consistent.,You tend to be friendly.
292,You are consistent.,You tend to be honest.
293,You are consistent.,You tend to be versatile.
294,You are consistent.,"You are usually outspoken, sometimes to the point of bluntness."
295,You are consistent.,You are quiet.
296,You are consistent.,You are shy.
297,You are consistent.,You are sensitive.
298,You are consistent.,You are sentimental.
299,You are consistent.,You are gentle.
300,You are consistent.,You are romantic.
301,You can handle more of the workload than most around you.,"You prefer a regular routine, defined responsibilities."
302,You can handle more of the workload than most around you.,"You prefer a regular routine, defined tasks."
303,You can handle more of the workload than most around you.,You enjoy building and seeing the results of your hard work.
304,You can handle more of the workload than most around you.,"Keeping things going is your strength, especially once someone else starts them."
305,You can handle more of the workload than most around you.,Money and possessions are important to you for the feelings of security they bring.
306,You can handle more of the workload than most around you.,You are handy with your hands.
307,You can handle more of the workload than most around you.,You may be ambidextrous or mechanically inclined.
308,You can handle more of the workload than most around you.,Debate and argument appeal to you.
309,You can handle more of the workload than most around you.,You grasp concepts easily.
310,You can handle more of the workload than most around you.,You may become impatient with those who do n't learn as quickly.
311,You can handle more of the workload than most around you.,"You are very direct in thought, action, and speech and everyone knows how you feel."
312,You can handle more of the workload than most around you.,You are adventurous.
313,You can handle more of the workload than most around you.,You are courageous.
314,You can handle more of the workload than most around you.,You are independent.
315,You can handle more of the workload than most around you.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
316,You can handle more of the workload than most around you.,You have common sense to manage others.
317,You can handle more of the workload than most around you.,You have the ability to manage others.
318,You can handle more of the workload than most around you.,You may be a bit of a perfectionist.
319,You can handle more of the workload than most around you.,Your mind is deep.
320,You can handle more of the workload than most around you.,Your mind is analytical.
321,You can handle more of the workload than most around you.,you probably have a good head for numbers.
322,You can handle more of the workload than most around you.,Your work is usually neat.
323,You can handle more of the workload than most around you.,Your work is usually orderly.
324,You can handle more of the workload than most around you.,you dislike messes.
325,You can handle more of the workload than most around you.,you dislike dirt.
326,You can handle more of the workload than most around you.,You tend to be idealistic.
327,You can handle more of the workload than most around you.,You tend to be optimistic.
328,You can handle more of the workload than most around you.,You tend to be dependable.
329,You can handle more of the workload than most around you.,You tend to be open-minded.
330,You can handle more of the workload than most around you.,You tend to be friendly.
331,You can handle more of the workload than most around you.,You tend to be honest.
332,You can handle more of the workload than most around you.,You tend to be versatile.
333,You can handle more of the workload than most around you.,"You are usually outspoken, sometimes to the point of bluntness."
334,You can handle more of the workload than most around you.,You are quiet.
335,You can handle more of the workload than most around you.,You are shy.
336,You can handle more of the workload than most around you.,You are sensitive.
337,You can handle more of the workload than most around you.,You are sentimental.
338,You can handle more of the workload than most around you.,You are gentle.
339,You can handle more of the workload than most around you.,You are romantic.
340,"You prefer a regular routine, defined responsibilities.","You prefer a regular routine, defined tasks."
341,"You prefer a regular routine, defined responsibilities.",You enjoy building and seeing the results of your hard work.
342,"You prefer a regular routine, defined responsibilities.","Keeping things going is your strength, especially once someone else starts them."
343,"You prefer a regular routine, defined responsibilities.",Money and possessions are important to you for the feelings of security they bring.
344,"You prefer a regular routine, defined responsibilities.",You are handy with your hands.
345,"You prefer a regular routine, defined responsibilities.",You may be ambidextrous or mechanically inclined.
346,"You prefer a regular routine, defined responsibilities.",Debate and argument appeal to you.
347,"You prefer a regular routine, defined responsibilities.",You grasp concepts easily.
348,"You prefer a regular routine, defined responsibilities.",You may become impatient with those who do n't learn as quickly.
349,"You prefer a regular routine, defined responsibilities.","You are very direct in thought, action, and speech and everyone knows how you feel."
350,"You prefer a regular routine, defined responsibilities.",You are adventurous.
351,"You prefer a regular routine, defined responsibilities.",You are courageous.
352,"You prefer a regular routine, defined responsibilities.",You are independent.
353,"You prefer a regular routine, defined responsibilities.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
354,"You prefer a regular routine, defined responsibilities.",You have common sense to manage others.
355,"You prefer a regular routine, defined responsibilities.",You have the ability to manage others.
356,"You prefer a regular routine, defined responsibilities.",You may be a bit of a perfectionist.
357,"You prefer a regular routine, defined responsibilities.",Your mind is deep.
358,"You prefer a regular routine, defined responsibilities.",Your mind is analytical.
359,"You prefer a regular routine, defined responsibilities.",you probably have a good head for numbers.
360,"You prefer a regular routine, defined responsibilities.",Your work is usually neat.
361,"You prefer a regular routine, defined responsibilities.",Your work is usually orderly.
362,"You prefer a regular routine, defined responsibilities.",you dislike messes.
363,"You prefer a regular routine, defined responsibilities.",you dislike dirt.
364,"You prefer a regular routine, defined responsibilities.",You tend to be idealistic.
365,"You prefer a regular routine, defined responsibilities.",You tend to be optimistic.
366,"You prefer a regular routine, defined responsibilities.",You tend to be dependable.
367,"You prefer a regular routine, defined responsibilities.",You tend to be open-minded.
368,"You prefer a regular routine, defined responsibilities.",You tend to be friendly.
369,"You prefer a regular routine, defined responsibilities.",You tend to be honest.
370,"You prefer a regular routine, defined responsibilities.",You tend to be versatile.
371,"You prefer a regular routine, defined responsibilities.","You are usually outspoken, sometimes to the point of bluntness."
372,"You prefer a regular routine, defined responsibilities.",You are quiet.
373,"You prefer a regular routine, defined responsibilities.",You are shy.
374,"You prefer a regular routine, defined responsibilities.",You are sensitive.
375,"You prefer a regular routine, defined responsibilities.",You are sentimental.
376,"You prefer a regular routine, defined responsibilities.",You are gentle.
377,"You prefer a regular routine, defined responsibilities.",You are romantic.
378,"You prefer a regular routine, defined tasks.",You enjoy building and seeing the results of your hard work.
379,"You prefer a regular routine, defined tasks.","Keeping things going is your strength, especially once someone else starts them."
380,"You prefer a regular routine, defined tasks.",Money and possessions are important to you for the feelings of security they bring.
381,"You prefer a regular routine, defined tasks.",You are handy with your hands.
382,"You prefer a regular routine, defined tasks.",You may be ambidextrous or mechanically inclined.
383,"You prefer a regular routine, defined tasks.",Debate and argument appeal to you.
384,"You prefer a regular routine, defined tasks.",You grasp concepts easily.
385,"You prefer a regular routine, defined tasks.",You may become impatient with those who do n't learn as quickly.
386,"You prefer a regular routine, defined tasks.","You are very direct in thought, action, and speech and everyone knows how you feel."
387,"You prefer a regular routine, defined tasks.",You are adventurous.
388,"You prefer a regular routine, defined tasks.",You are courageous.
389,"You prefer a regular routine, defined tasks.",You are independent.
390,"You prefer a regular routine, defined tasks.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
391,"You prefer a regular routine, defined tasks.",You have common sense to manage others.
392,"You prefer a regular routine, defined tasks.",You have the ability to manage others.
393,"You prefer a regular routine, defined tasks.",You may be a bit of a perfectionist.
394,"You prefer a regular routine, defined tasks.",Your mind is deep.
395,"You prefer a regular routine, defined tasks.",Your mind is analytical.
396,"You prefer a regular routine, defined tasks.",you probably have a good head for numbers.
397,"You prefer a regular routine, defined tasks.",Your work is usually neat.
398,"You prefer a regular routine, defined tasks.",Your work is usually orderly.
399,"You prefer a regular routine, defined tasks.",you dislike messes.
400,"You prefer a regular routine, defined tasks.",you dislike dirt.
401,"You prefer a regular routine, defined tasks.",You tend to be idealistic.
402,"You prefer a regular routine, defined tasks.",You tend to be optimistic.
403,"You prefer a regular routine, defined tasks.",You tend to be dependable.
404,"You prefer a regular routine, defined tasks.",You tend to be open-minded.
405,"You prefer a regular routine, defined tasks.",You tend to be friendly.
406,"You prefer a regular routine, defined tasks.",You tend to be honest.
407,"You prefer a regular routine, defined tasks.",You tend to be versatile.
408,"You prefer a regular routine, defined tasks.","You are usually outspoken, sometimes to the point of bluntness."
409,"You prefer a regular routine, defined tasks.",You are quiet.
410,"You prefer a regular routine, defined tasks.",You are shy.
411,"You prefer a regular routine, defined tasks.",You are sensitive.
412,"You prefer a regular routine, defined tasks.",You are sentimental.
413,"You prefer a regular routine, defined tasks.",You are gentle.
414,"You prefer a regular routine, defined tasks.",You are romantic.
415,You enjoy building and seeing the results of your hard work.,"Keeping things going is your strength, especially once someone else starts them."
416,You enjoy building and seeing the results of your hard work.,Money and possessions are important to you for the feelings of security they bring.
417,You enjoy building and seeing the results of your hard work.,You are handy with your hands.
418,You enjoy building and seeing the results of your hard work.,You may be ambidextrous or mechanically inclined.
419,You enjoy building and seeing the results of your hard work.,Debate and argument appeal to you.
420,You enjoy building and seeing the results of your hard work.,You grasp concepts easily.
421,You enjoy building and seeing the results of your hard work.,You may become impatient with those who do n't learn as quickly.
422,You enjoy building and seeing the results of your hard work.,"You are very direct in thought, action, and speech and everyone knows how you feel."
423,You enjoy building and seeing the results of your hard work.,You are adventurous.
424,You enjoy building and seeing the results of your hard work.,You are courageous.
425,You enjoy building and seeing the results of your hard work.,You are independent.
426,You enjoy building and seeing the results of your hard work.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
427,You enjoy building and seeing the results of your hard work.,You have common sense to manage others.
428,You enjoy building and seeing the results of your hard work.,You have the ability to manage others.
429,You enjoy building and seeing the results of your hard work.,You may be a bit of a perfectionist.
430,You enjoy building and seeing the results of your hard work.,Your mind is deep.
431,You enjoy building and seeing the results of your hard work.,Your mind is analytical.
432,You enjoy building and seeing the results of your hard work.,you probably have a good head for numbers.
433,You enjoy building and seeing the results of your hard work.,Your work is usually neat.
434,You enjoy building and seeing the results of your hard work.,Your work is usually orderly.
435,You enjoy building and seeing the results of your hard work.,you dislike messes.
436,You enjoy building and seeing the results of your hard work.,you dislike dirt.
437,You enjoy building and seeing the results of your hard work.,You tend to be idealistic.
438,You enjoy building and seeing the results of your hard work.,You tend to be optimistic.
439,You enjoy building and seeing the results of your hard work.,You tend to be dependable.
440,You enjoy building and seeing the results of your hard work.,You tend to be open-minded.
441,You enjoy building and seeing the results of your hard work.,You tend to be friendly.
442,You enjoy building and seeing the results of your hard work.,You tend to be honest.
443,You enjoy building and seeing the results of your hard work.,You tend to be versatile.
444,You enjoy building and seeing the results of your hard work.,"You are usually outspoken, sometimes to the point of bluntness."
445,You enjoy building and seeing the results of your hard work.,You are quiet.
446,You enjoy building and seeing the results of your hard work.,You are shy.
447,You enjoy building and seeing the results of your hard work.,You are sensitive.
448,You enjoy building and seeing the results of your hard work.,You are sentimental.
