,score,definition,trait
173,0.26360969723152333,deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc,faint
174,0.6781460728032394,lacking conviction or boldness or courage,faint
175,0.6323692210773848,lacking strength or vigor,faint
176,0.5148118519301028,lacking clarity or distinctness,faint
177,0.219603898196665,indistinctly understood or felt or perceived,faint
178,0.4362606220805028,used especially of persons,stouthearted
179,0.5270319803027996,(of birds) having developed feathers or plumage; often used in combination,mature
180,0.049777644351190045,fully considered and perfected,mature
181,0.009503482816748258,fully developed or matured and ready to be eaten or used,mature
182,0.03987898808078988,characteristic of maturity,mature
183,0.0114423684571163,having reached full natural growth or development,mature
184,0.1513772666481137,(of hair) neat and tidy,tidy
185,0.07528259095448497,large in amount or extent or degree,tidy
186,0.37484156492407783,marked by order and cleanliness in appearance or habits,tidy
187,0.42762795347616944,in keeping,consonant
188,0.44104653545362404,involving or characterized by harmony,consonant
189,0.017480730277395443,disregarding your own advantages and welfare over those of others,unselfish
190,0.6200874372772145,not greedy,unselfish
191,0.10407605763963446,showing empathy or ready comprehension of others' states,empathic
192,0.024186727510280916,"unrestrained, especially with regard to feelings",exuberant
193,0.0042098075514641654,joyously unrestrained,exuberant
194,0.2268947070670095,produced or growing in extreme abundance,exuberant
195,0.001977818248040941,showing malicious ill will and a desire to hurt; motivated by spite,spiteful
196,0.07076876113097469,sticking together,coherent
197,0.3484895188427595,"marked by an orderly, logical, and aesthetically consistent relation of parts",coherent
198,0.007171973726448645,capable of thinking and expressing yourself in a clear and consistent manner,coherent
199,0.6849830024766406,not brilliant or glaring,soft
200,0.29986176927958025,"(used chiefly as a direction or description in music) soft; in a quiet, subdued tone",soft
201,0.5183199892881755,produced with vibration of the vocal cords,soft
202,0.11472690541504169,out of condition; not strong or robust; incapable of exertion or endurance,soft
203,0.6465707717035067,(of light) transmitted from a broad light source or reflected,soft
204,0.1276883881480375,easily hurt,soft
205,0.18615567121699272,having little impact,soft
206,0.37772960692522417,tolerant or lenient,soft
207,0.03585667228060026,mild and pleasant,soft
208,0.4329032083845768,not burdensome or demanding; borne or done easily and without hardship,soft
209,0.33342560748150424,soft and mild; not harsh or stern or severe,soft
210,0.018591604063160665,compassionate and kind; conciliatory,soft
211,0.6115241419985249,(of a commodity or market or currency) falling or likely to fall in value,soft
212,0.25805376700896837,(of sound) relatively low in volume,soft
213,0.4667100963458578,(of speech sounds); produced with the back of the tongue raised toward the hard palate; characterized by a hissing or hushing sound (as `s' and `sh'),soft
214,0.3882535325638392,using evidence not readily amenable to experimental verification or refutation,soft
215,0.03298498334207359,willing to negotiate and compromise,soft
216,0.13717583895002786,yielding readily to pressure or weight,soft
217,0.04885460712252233,used especially of drugs or muscles that counteract or neutralize each other's effect,antagonistic
218,0.5049803785092121,indicating opposition or resistance,antagonistic
219,0.03658304787804259,characterized by antagonism or antipathy,antagonistic
220,0.014734443306668264,arousing animosity or hostility,antagonistic
221,0.4730334576236094,incapable of harmonious association,antagonistic
222,0.00653710078680808,diffusing warmth and friendliness,cordial
223,0.008203733588809698,politely warm and friendly,cordial
224,0.5467140770697272,sincerely or intensely felt,cordial
225,0.17219633209308718,not worthy of trust or belief,untrustworthy
226,0.0068042610257759975,designed to arouse lust,adult
227,0.018004411259470363,(of animals) fully developed,adult
228,0.5628356960339289,having or displaying warmth or affection,affectionate
229,0.6043772988177115,lacking in magnanimity,ungenerous
230,0.17115903758797135,"unwilling to spend (money, time, resources, etc.)",ungenerous
231,0.16158037292428465,having or fostering a warm or friendly and informal atmosphere,cozy
232,0.32981233370886626,enjoying or affording comforting warmth and shelter especially in a small space,cozy
233,0.029889181864051175,suggesting connivance,cozy
234,0.7683624731619481,of or associated with or requiring the use of the mind,rational
235,0.6626961999286793,capable of being expressed as a quotient of integers,rational
236,0.8062009556855287,consistent with or based on or using reason,rational
237,0.5937866331588145,having its source in or being guided by the intellect (as distinguished from experience or emotion),rational
238,0.4697657752460494,befitting or characteristic of a young boy,boyish
239,0.3748003679900066,lacking sincerity,insincere
240,0.32347544611958823,not carefully or expertly made,crude
241,0.14189465884922012,devoid of any qualifications or disguise or adornment,crude
242,0.38000580306681797,not refined or processed,crude
243,0.004638709163278734,conspicuously and tastelessly indecent,crude
244,0.023297978420892436,belonging to an early stage of technical development; characterized by simplicity and (often) crudeness,crude
245,0.2240284091685599,not processed or subjected to analysis,crude
246,0.44329092248090624,correct in opinion or judgment,right
247,0.1441832034617766,intended for the right hand,right
248,0.37411819460032075,(informal) very; used informally as an intensifier,right
249,0.21862321049912953,socially right or correct,right
250,0.4928878401084957,in accord with accepted standards of usage or procedure,right
251,0.07485342538492087,precisely accurate,right
252,0.09351709502978234,free from error; especially conforming to fact or truth,right
253,0.587737237737827,"appropriate for a condition or purpose or occasion or a person's character, needs",right
254,0.3087449701460558,most suitable or right for a particular purpose,right
255,0.6998485015905492,being or located on or directed toward the side of the body to the east when facing north,right
256,0.38494626165350043,having the axis perpendicular to the base,right
257,0.43633939276086403,in conformance with justice or law or morality,right
258,0.40039681858289644,in or into a satisfactory condition,right
259,0.3521510443338856,of or belonging to the political or intellectual right,right
260,0.7598140110543359,(of the side of cloth or clothing) facing or intended to face outward,right
261,0.3169193188228267,tested and proved useful or correct,tested
262,0.09628493864951351,tested and proved to be reliable,tested
263,0.343034056503962,not disposed to cheat or defraud; not deceptive or fraudulent,honorable
264,0.17156078885225765,adhering to ethical and moral principles,honorable
265,0.01932978971745814,deserving of esteem and respect,honorable
266,0.1103749881974106,worthy of being honored; entitled to honor and respect,honorable
267,0.30856151360372114,capable of being wounded or hurt,vulnerable
268,0.13409966823117267,susceptible to attack,vulnerable
269,0.23600312296842785,susceptible to criticism or persuasion or temptation,vulnerable
270,0.012661779290340045,making great mental demands; hard to comprehend or solve or believe,problematic
271,0.10849067742664815,open to doubt or debate,problematic
272,0.4672948091039466,lacking excess flesh,thin
273,0.3146304655969042,not dense,thin
274,0.6102017397646337,lacking substance or significance,thin
275,0.08991961038357286,very narrow,thin
276,0.5664660690100889,lacking spirit or sincere effort,thin
277,0.6669691175315225,of relatively small extent from one surface to the opposite or in cross section,thin
278,0.5650267178072008,(of sound) lacking resonance or volume,thin
279,0.2843625761623642,relatively thin in consistency or low in density; not viscous,thin
280,0.3071206982221376,disposed to please,amiable
281,0.00653710078680808,diffusing warmth and friendliness,amiable
282,0.858350675940735,not ostentatious,unostentatious
283,0.5935589972284343,exhibiting restrained good taste,unostentatious
284,0.4464635319975632,worthy of trust or belief,trusty
285,0.0004980855481241893,flamboyantly adventurous,swashbuckling
286,0.18009001194729363,being the agent or cause,responsible
287,0.07764891302980734,having an acceptable credit rating,responsible
288,0.6764898412007948,worthy of or requiring responsibility or trust; or held accountable,responsible
289,0.03671940066599485,having calluses; having skin made tough and thick through wear,callous
290,0.004950028191619384,emotionally hardened,callous
291,0.48705772547587983,socially incorrect in behavior,rude
292,0.17839688645334445,(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes,rude
293,0.3749845382084923,lacking civility or good manners,rude
294,0.023297978420892436,belonging to an early stage of technical development; characterized by simplicity and (often) crudeness,rude
295,0.7105399832703698,(of persons) lacking in refinement or grace,rude
296,0.4336649901834395,"wanting in moral strength, courage, or will; having the attributes of man as opposed to e.g. divine beings",fallible
297,0.1291628323778918,likely to fail or make errors,fallible
298,0.48705772547587983,socially incorrect in behavior,unmannered
299,0.09563302104558294,without artificiality; natural,unmannered
300,0.7643804805327901,(of something seen or heard) clearly defined,sharp
301,0.007389960953288484,marked by practical hardheaded intelligence,sharp
302,0.07820284289952406,extremely steep,sharp
303,0.2752819508607575,having or emitting a high-pitched and sharp tone or tones,sharp
304,0.42623561568370144,having or demonstrating ability to recognize or draw fine distinctions,sharp
305,0.03510340081292929,harsh,sharp
306,0.18188049526832853,ending in a sharp point,sharp
307,0.7015786901196663,having or made by a thin edge or sharp point; suitable for cutting or piercing,sharp
308,0.2664759241830486,keenly and painfully felt; as if caused by a sharp edge or point,sharp
309,0.2630549126827472,(of a musical note) raised in pitch by one chromatic semitone,sharp
310,0.006909827534921912,quick and forceful,sharp
311,0.06329638665136951,very sudden and in great amount or degree,sharp
312,0.26360969723152333,deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc,weak
313,0.6468525311289831,(used of vowels or syllables) pronounced with little or no stress,weak
314,0.22732712857049875,overly diluted; thin and insipid,weak
315,0.4336649901834395,"wanting in moral strength, courage, or will; having the attributes of man as opposed to e.g. divine beings",weak
316,0.5397177002057147,lacking bodily or muscular strength or vitality,weak
317,0.1843235413091316,deficient in intelligence or mental power,weak
318,0.7129404665555831,deficient or lacking in some skill,weak
319,0.17700532023340468,likely to fail under stress or pressure,weak
320,0.25273665569529935,"not having authority, political strength, or governing power",weak
321,0.11293748546720316,tending downward in price,weak
322,0.7314816347881686,(used of verbs) having standard (or regular) inflection,weak
323,0.12254747734481582,wanting in physical strength,weak
324,0.003332103041280628,possessing or displaying courage; able to face and deal with danger or fear without flinching,brave
325,0.0046767320313360365,invulnerable to fear or intimidation,brave
326,0.00033350690864902296,brightly colored and showy,brave
327,0.5919969915184501,based on known statements or events or conditions,logical
328,0.3484895188427595,"marked by an orderly, logical, and aesthetically consistent relation of parts",logical
329,0.007171973726448645,capable of thinking and expressing yourself in a clear and consistent manner,logical
330,0.6593282874055448,capable of or reflecting the capability for correct and valid reasoning,logical
331,0.012661779290340045,making great mental demands; hard to comprehend or solve or believe,problematical
332,0.10849067742664815,open to doubt or debate,problematical
333,0.002986766772341801,annoyed and irritable,grouchy
334,0.011571198630282368,friendly and pleasant,sociable
335,0.5671719398726516,inclined to or conducive to companionship with others,sociable
336,0.002986766772341801,annoyed and irritable,grumpy
337,0.10407605763963446,showing empathy or ready comprehension of others' states,empathetic
338,0.3447543010832666,not in accord,discrepant
339,0.06293195007346183,not compatible with other facts,discrepant
340,0.21124169019923805,not in agreement,discrepant
341,0.05352083256700898,characterized by directness in manner or speech; without subtlety or evasion,blunt
342,0.14189465884922012,devoid of any qualifications or disguise or adornment,blunt
343,0.555726310653458,having a broad or rounded end,blunt
344,0.16692318007937804,used of a knife or other blade; not sharp,blunt
345,0.001445767506459317,showing extreme cupidity; painfully desirous of another's advantages,jealous
346,0.12756956244714976,suspicious or unduly suspicious or fearful of being displaced by a rival,jealous
347,0.021867877457662097,elegant and stylish,chic
348,0.4984243942338127,disposed to venture or take risks,venturesome
349,0.47848041454537094,in harmony with the spirit of particular persons or occasion,decent
350,0.2633860795163135,socially or conventionally correct; refined or virtuous,decent
351,0.06392921772259487,meeting requirements,decent
352,0.04312805227260518,conforming to conventions of sexual behavior,decent
353,0.09159365693437271,observing conventional sexual mores in speech or behavior or dress,decent
354,0.059815559588401436,sufficiently clothed to see visitors or appear in public,decent
355,0.7308950399145764,represented in simplified or symbolic form,formal
356,0.014442027824690914,refined or imposing in manner or appearance; befitting a royal court,formal
357,0.1508824913338253,being in accord with established forms and conventions and requirements (as e.g. of formal dress),formal
358,0.10367420889182942,characteristic of or befitting a person in authority,formal
359,0.1607959936987261,logically deductive,formal
360,0.24162613004086175,"(of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms",formal
361,0.42762795347616944,in keeping,agreeable
362,0.31819509437765053,prepared to agree or consent,agreeable
363,0.00420790296678325,characterized by the attitude of a philosopher; meeting trouble with level-headed detachment,philosophical
364,0.4989197308402486,of or relating to philosophy or philosophers,philosophical
365,0.22659659116936723,clean or organized,orderly
366,0.4123777907282274,having the ability or power to create,creative
367,0.20982388960367238,promoting construction or creation,creative
368,0.022906790408912185,made lively or spirited,spirited
369,0.0029597233066674415,willing to face danger,spirited
370,0.0010437628188562616,marked by lively action,spirited
371,0.027294308461970822,"displaying animation, vigor, or liveliness",spirited
372,0.1699333259449432,lacking depth of intellect or knowledge; concerned only with what is obvious,shallow
373,0.5826050123880812,lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center,shallow
374,0.670092301910412,not deep or strong; not affecting one deeply,shallow
375,0.09836724060656694,lacking intelligence,unintelligent
376,0.16046307742637134,having or showing keen interest or intense desire or impatient expectancy,eager
377,0.4464635319975632,worthy of trust or belief,trustworthy
378,0.24032694209194613,taking responsibility for one's conduct and obligations,trustworthy
379,0.032976664033011485,"ludicrous, foolish",goofy
380,0.13514713942518547,young and inexperienced,callow
381,0.0830179060135012,being of the age 13 through 19,teen
382,0.03359637012792433,given to expressing yourself freely or insistently,vocal
383,0.0618523762856273,full of the sound of voices,vocal
384,0.02668136793580197,exhibiting courtesy and politeness,courteous
385,0.023405436179618613,characterized by courtesy and gracious good manners,courteous
386,0.5065309655747624,given or giving freely,bounteous
387,0.15402133923291383,not neat and tidy,untidy
388,0.07195366270617057,affected with madness or insanity,crazy
389,0.026727718659640985,foolish; totally unsound,crazy
390,0.06424343736085165,intensely enthusiastic about or preoccupied with,crazy
391,0.2011236583710021,bizarre or fantastic,crazy
392,0.0019055696957236779,possessed by inordinate excitement,crazy
393,0.7243696798145761,involving or causing danger or risk; liable to hurt or harm,unsafe
394,0.5061267708518797,lacking in security or safety,unsafe
395,0.08765917528409108,not safe from attack,unsafe
396,0.43328471955303255,without motivation,unmotivated
397,0.24967703146090103,not easily irritated,placid
398,0.2934780975190008,(of a body of water) free from disturbance by heavy waves,placid
399,0.15425962589260636,capable of being corrupted,dishonest
400,0.35681967720407726,deceptive or fraudulent; disposed to cheat or defraud or deceive,dishonest
401,0.0046767320313360365,invulnerable to fear or intimidation,intrepid
402,0.03704742957502754,more than is usual or necessary,generous
403,0.012761038176530485,not petty in character and mind,generous
404,0.0045695132965573515,willing to give and share unstintingly,generous
405,0.018004411259470363,(of animals) fully developed,grownup
406,0.14197699190220245,in a state of mental numbness especially as resulting from shock,stupefied
407,0.14689912357564186,as if struck dumb with astonishment and surprise,stupefied
408,0.6781460728032394,lacking conviction or boldness or courage,fainthearted
409,0.0818647536622645,"agreeable, conducive to comfort",genial
410,0.00653710078680808,diffusing warmth and friendliness,genial
411,0.7225087149236329,of or relating to the chin or median part of the lower jaw,genial
412,0.47098648822257866,regarded with disfavor or lacking general approval,unpopular
413,0.39175095456261366,pertaining to or concerned with the humanities,humane
414,0.14365618869555727,marked or motivated by concern with the alleviation of suffering,humane
415,0.005473058433033175,showing evidence of moral and intellectual advancement,humane
416,0.1949368493670497,darkened with overcast,dull
417,0.13410328109915653,so lacking in interest as to cause mental weariness,dull
418,0.23782539710916928,slow to learn or understand; lacking intellectual acuity,dull
419,0.6550033325971408,being or made softer or less loud or clear,dull
420,0.16275324685452144,not clear and resonant; sounding as if striking with or against something relatively soft,dull
421,0.5575193434219419,(of business) not active or brisk,dull
422,0.7871576168524969,blunted in responsiveness or sensibility,dull
423,0.29411457483790815,emitting or reflecting very little light,dull
424,0.6364612781517842,lacking in liveliness or animation,dull
425,0.5183369814200596,not having a sharp edge or point,dull
426,0.6405013757453166,not keenly felt,dull
427,0.23371382888521255,(of color) very low in saturation; highly diluted,dull
428,0.30711897747986683,lacking in insight or discernment,obtuse
429,0.23782539710916928,slow to learn or understand; lacking intellectual acuity,obtuse
430,0.12187286603382773,(of a leaf shape) rounded at the apex,obtuse
431,0.38000580306681797,not refined or processed,unprocessed
432,0.3982379386707722,not altered from an original or natural state,unprocessed
433,0.3175187692667847,not treated or prepared by a special process,unprocessed
434,0.11048032653808058,covered with water,inundated
435,0.4079754284479387,indicating a lack of maturity,infantile
436,0.5223294606997042,being or befitting or characteristic of an infant,infantile
437,0.006371009328260672,attracting attention by showiness or bright colors,noisy
438,0.019562120063510654,full of or characterized by loud and nonmusical sounds,noisy
439,0.26607463573898815,not practical or realizable; speculative,impractical
440,0.3860847083008809,not practical; not workable or not given to practical matters,impractical
441,0.5081399501892034,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct",exact
442,0.18555881367503324,marked by strict and particular and complete accordance with fact,exact
443,0.7386495472357508,representing or appealing to or adapted for the benefit of the people at large,popular
444,0.09318787032586125,(of music or art) new and of general appeal (especially among young people),popular
445,0.5197965798047418,carried on by or for the people (or citizens) at large,popular
446,0.05493248304898009,"regarded with great favor, approval, or affection especially by the general public",popular
447,0.5949458392780296,not excessive or extreme,reasonable
448,0.13390890012144943,marked by sound judgment,reasonable
449,0.269262263781976,showing reason or sound judgment,reasonable
450,0.0038225034846076037,confidently optimistic and cheerful,sanguine
451,0.03536411389040661,inclined to a healthy reddish color often associated with outdoor life,sanguine
452,0.4348276582465339,"not developed, improved, exploited or used",undeveloped
453,0.5737565517966337,"not developed, mature, or fully formulated",undeveloped
454,0.3187045466824971,hurting,raw
455,0.0821125194841295,lacking training or experience,raw
456,0.24650521055710076,used of wood and furniture,raw
457,0.05165708851557336,(used informally) completely unclothed,raw
458,0.17839688645334445,(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes,raw
459,0.02291948076531178,devoid of elaboration or diminution or concealment; bare and pure,raw
460,0.2240284091685599,not processed or subjected to analysis,raw
461,0.11557165282197156,unpleasantly cold and damp,raw
462,0.12563376738258344,brutally unfair or harsh,raw
463,0.02482340921428752,having the surface exposed and painful,raw
464,0.5130648777725416,not processed or refined,raw
465,0.17607201656354785,not treated with heat to prepare it for eating,raw
466,0.0064981161843149175,untempered and unrefined,raw
467,0.008627607293362358,exhibiting native good judgment,commonsensical
468,0.07307460621032016,completely unordered and unpredictable and confusing,disorderly
469,0.05968889808088153,in utter disorder,disorderly
470,0.0027488278456730053,undisciplined and unruly,disorderly
471,0.010599783209136616,providing enjoyment; pleasantly entertaining,amusing
472,0.21745128308091813,arousing or provoking laughter,amusing
473,0.06896057437465078,depriving of confidence or hope or enthusiasm and hence often deterring action,discouraging
474,0.07440280808537553,expressing disapproval in order to dissuade,discouraging
475,0.06975690965389382,(of language) transparently clear; easily understandable,lucid
