,predicted_class,C,N,E,dist
56,contradiction,0.9387031461313182,0.05948548683717648,0.0018113462233850094,0.9387031461313182
57,neutral,0.09173444303235516,0.8984627525350755,0.009802822966166828,0.4946035481082959
58,neutral,0.004386071667491925,0.8357701191305508,0.15984383631962198,0.41972599648457737
59,neutral,0.013007584213657265,0.9718737785611412,0.015118640589515762,0.49234105536366435
60,neutral,0.016314309992340573,0.9792975523453052,0.004388194994863627,0.49776951378693396
61,neutral,0.003725706505246664,0.9954239684399376,0.0008503529767942503,0.49957323351685656
62,contradiction,0.9990207019344488,0.0007727238206074426,0.00020664927330357456,0.9990207019344488
63,neutral,0.0011098560341779636,0.9386945297064574,0.06019559470824647,0.46986876071904415
64,neutral,0.002010632834870692,0.9879245926180522,0.01006469039370465,0.4949575157944927
65,neutral,0.002232549841702053,0.9593377969491172,0.03842965258057328,0.4807421796538424
66,contradiction,0.9752173465206884,0.01863087384514009,0.006151791116946097,0.9752173465206884
67,neutral,0.057980923388664125,0.9300478012914772,0.01197122889945743,0.4936459728966245
68,neutral,0.10766988222267143,0.8851795022144735,0.007150593891022453,0.4959933022979777
69,contradiction,0.9979060718050222,0.0018420434215678265,0.0002518164972399089,0.9979060718050222
70,neutral,0.10071992974627048,0.7984425970217067,0.10083749637641598,0.4439343219555879
71,neutral,0.010723707358207692,0.7467233620081244,0.24255294602964786,0.37740889776752506
72,neutral,0.011000162244358314,0.9558728261209599,0.03312700957473984,0.48325226740233124
73,contradiction,0.9218426836384991,0.07629309767998685,0.0018642305883632489,0.9218426836384991
74,contradiction,0.984887163847738,0.014259650288502597,0.0008532233367909128,0.984887163847738
75,contradiction,0.6850735040903287,0.3058483042909612,0.009078207228407673,0.6850735040903287
76,contradiction,0.6368669816953689,0.3512219186351654,0.011911140238812392,0.6368669816953689
77,neutral,0.007930293601442942,0.8215570842150193,0.1705126869504272,0.4140621497064086
78,neutral,0.09014703847774844,0.9044375887273304,0.005415396399515723,0.4970240266900038
79,contradiction,0.9837889469342193,0.014316710220542697,0.00189437185655112,0.9837889469342193
80,neutral,0.0011481183328905715,0.8943411644565377,0.1045107055984057,0.4476845823031513
81,neutral,0.011535120377440582,0.9269436138080928,0.06152119863526497,0.46888043061280427
82,neutral,0.23048997877424926,0.5502384954239706,0.2192715741129432,0.3575252080554973
83,entailment,0.0006345659525243702,0.14084651078398544,0.8585189120529498,0.07046797275823256
84,neutral,0.0038336382119477158,0.8800531794123269,0.11611317725498432,0.44171998658766065
85,contradiction,0.9851955384912516,0.011985451074609159,0.0028190091001288387,0.9851955384912516
86,contradiction,0.9928685061656176,0.006302308915902755,0.0008292472795171521,0.9928685061656176
87,contradiction,0.9568389456698556,0.041266191760281616,0.0018948054934835113,0.9568389456698556
88,contradiction,0.9315491983970076,0.06476643410417607,0.003684346852333502,0.9315491983970076
89,neutral,0.03963316171310896,0.9537906687462254,0.006576272235018425,0.49657616690329887
90,neutral,0.04758138828008207,0.9279593775478421,0.02445928612325144,0.4871593832333287
91,contradiction,0.9391719722546236,0.05765231424026366,0.003175696628858831,0.9391719722546236
92,neutral,0.036362029164390734,0.9620554666720086,0.0015825948629437912,0.4991788437349481
93,neutral,0.0019787766669717172,0.8908499120929417,0.1071713124921852,0.4463080995413019
94,neutral,0.0013794064116695675,0.8441440416918568,0.1544765131005668,0.42265505032956346
95,neutral,0.004760393319629297,0.9840928250129091,0.011146723421497615,0.49439997966367377
96,neutral,0.145420516514132,0.8323751012428905,0.022204436469568413,0.48700856064901504
97,neutral,0.1978784106075576,0.7808067277445456,0.02131479973417637,0.4867134848000063
98,neutral,0.0016137387245545314,0.9965798214254432,0.0018065485932716504,0.4990952657971293
99,neutral,0.015106944698499278,0.9371318181194036,0.04776120516775234,0.47575310006342325
100,neutral,0.002631403305225027,0.983816408408844,0.013552126130657968,0.4932060589133609
101,neutral,0.012430930461565327,0.961954852933275,0.02561428943242771,0.4870316475406121
102,neutral,0.0033571467191384013,0.9874477971114524,0.009194981761237885,0.4953870223332986
103,neutral,0.007235296824231676,0.9732760649541724,0.019488572561553327,0.49018469644007406
104,neutral,0.19589045661918236,0.7839640300886358,0.02014550785705784,0.48747340573243
105,neutral,0.0009969161945262892,0.997772302951074,0.0012308716389370096,0.49938395008632375
106,neutral,0.002213838100669132,0.9830373892000692,0.01474888866932261,0.4926091944755863
107,neutral,0.0024587084031413805,0.8878890568189997,0.10965226885740532,0.4450387337170953
108,neutral,0.0014313747264498792,0.8960398804124767,0.10252882959129443,0.4486621057899425
109,neutral,0.001778860406092931,0.8742688588041974,0.12395233281396505,0.4379133934168275
110,neutral,0.0044969259043383435,0.9754921302261575,0.020010949936662144,0.48994932796521873
111,neutral,0.023171592654630063,0.9519263270390066,0.024902099931850826,0.4872535957982549
112,neutral,0.009183107415759085,0.8351385070002291,0.15567843678557458,0.42143935478598893
113,neutral,0.0007294554638343178,0.963118274552636,0.03615228252324655,0.4819106635999377
114,neutral,0.05387450094242896,0.9354653713854444,0.010660207935624206,0.49436638847494546
115,neutral,0.04218038001512539,0.9469046049212414,0.01091508396644678,0.4943021196509739
116,neutral,0.001645438188531277,0.9975003654256404,0.0008541298698495276,0.4995722311694521
117,neutral,0.002621499419972779,0.9966072900269456,0.0007711046487623304,0.4996134342527978
118,neutral,0.006758589330457633,0.9895245168590836,0.003716944195176003,0.4981288818777104
119,neutral,0.08047248115078208,0.902990363091416,0.016537201314271558,0.4910077729290475
120,neutral,0.3505103246160939,0.6314374423072838,0.018052268405214213,0.486102729490964
121,neutral,0.002516345366633573,0.9312838283318092,0.06619981314500932,0.4668165920761379
122,neutral,0.002386131971736838,0.9505766570088948,0.04703720759557256,0.47642514340244163
123,neutral,0.002251258709264346,0.8805486144669109,0.11720007781551707,0.4412677366945915
124,contradiction,0.95119459787227,0.047001133032868236,0.00180429391757174,0.95119459787227
125,neutral,0.16465488860481053,0.8211882497060201,0.014156860072349854,0.4915263404869241
126,neutral,0.01393543119949422,0.8969195701376936,0.08914500555622287,0.45479758235230716
127,contradiction,0.8999260011135186,0.09647856132261012,0.003595472401827753,0.8999260011135186
128,neutral,0.0007387265495584497,0.9954649578871048,0.003796333670685671,0.4981004299362145
129,contradiction,0.8233942464928703,0.16665764311824913,0.009948087796662643,0.8233942464928703
130,contradiction,0.9978824490633004,0.0019081256134418547,0.00020946698833416308,0.9978824490633004
131,contradiction,0.7840392071980576,0.2129802930780621,0.0029805168040120547,0.7840392071980576
132,neutral,0.017317463943043062,0.9561286400632444,0.02655391230485004,0.48648906900765676
133,contradiction,0.9558263182883282,0.036774271603330015,0.007399336701254116,0.9558263182883282
134,neutral,0.013039597428186916,0.9541313129264191,0.03282899666343764,0.48336863380196105
135,entailment,0.0016261255736574956,0.015333046690748925,0.98304084439716,0.007679010252381899
136,neutral,0.007220380368799256,0.9757476587191172,0.017032023539281346,0.49142205272546646
137,neutral,0.0046747499462621855,0.9773559493341772,0.017969297848921775,0.4909731527961452
138,neutral,0.00925596996407058,0.9882858678025662,0.002458141025308775,0.498759446939166
139,neutral,0.00879525909106722,0.9892989384830444,0.001905865937487252,0.49903861143076206
140,neutral,0.006612779961908106,0.991015116640398,0.0023721361848419785,0.49880603652900946
141,neutral,0.020284665125434725,0.9686085291131118,0.011106803721203406,0.4943316168743264
142,neutral,0.007606140187474144,0.8937674332865446,0.0986264040587477,0.450308838916927
143,neutral,0.038267683956341295,0.9587325699301368,0.002999785202692156,0.4984404261816283
144,neutral,0.016737379308937917,0.9728297721453256,0.010432796926234209,0.4946948062224695
145,neutral,0.020371569392608358,0.9762554815315524,0.003372995233980841,0.498278431408447
146,neutral,0.03004828148604128,0.9651445607999306,0.0048071596984489715,0.49752195929093307
147,neutral,0.009850767784101051,0.9825765762231301,0.007572629222039089,0.49617601610929213
148,neutral,0.005765863561944704,0.9552616251164866,0.03897254549536213,0.4804007211543642
149,contradiction,0.9820505461771428,0.016820820505526732,0.0011287107036476107,0.9820505461771428
150,contradiction,0.9457715748082384,0.032903147585399084,0.021325225145554003,0.9457715748082384
151,contradiction,0.8868547176449417,0.08299773938492244,0.030147624710663925,0.8868547176449417
152,neutral,0.03407568724373454,0.9525319626686772,0.01339237424240533,0.4930675862846397
153,neutral,0.0163075201036576,0.9805664823018704,0.003125953690127321,0.4984111122665211
154,neutral,0.004764515030305505,0.9888534542584771,0.006382095269492297,0.4967936759933268
155,neutral,0.006821810540045515,0.9902366997485712,0.002941417647688189,0.4985191892591233
156,neutral,0.00902448590539674,0.976887478818456,0.014088004032503468,0.49289185036547356
157,neutral,0.014314710125616869,0.9795453562962044,0.006139975000203483,0.4968854284398613
158,neutral,0.11905802922038182,0.8299971717239697,0.05094473677732292,0.4710850759365093
159,neutral,0.007028541451061828,0.9708708913859964,0.022100485031517472,0.4888715397259221
160,neutral,0.003335237767591907,0.993057859096858,0.0036068692633174975,0.4981905302953522
161,neutral,0.0014141719561727056,0.9958323612949196,0.002753398270558764,0.4986213511237348
162,neutral,0.07059720646497196,0.9202195228243868,0.00918331760281297,0.49505956018028097
163,neutral,0.08897539156280118,0.9019507226724714,0.009073901067620151,0.49501994741351313
164,neutral,0.09084235245671286,0.9026531008015071,0.006504629485775168,0.4964227167250067
165,neutral,0.012746618943068028,0.9817085193861528,0.005544876324634498,0.4971917663951703
166,neutral,0.002187941773882303,0.9737107862227852,0.02410132587831429,0.4879229137499825
167,neutral,0.001670761218595033,0.9841828815299248,0.01414627247238302,0.4929150258631282
168,neutral,0.004950453074180769,0.9766330580091516,0.018416500195548517,0.4907459382079541
169,neutral,0.023405558946339,0.9604516783338216,0.016142713515205725,0.4917352005858635
170,neutral,0.1046104223152026,0.8834358809821065,0.011953614557900978,0.4933249079772307
171,contradiction,0.8659641796868643,0.13016401368350033,0.00387179669547963,0.8659641796868643
172,neutral,0.006523987711269028,0.9751257491745116,0.018350300278440687,0.49076459855849314
173,neutral,0.17419314932325444,0.8145566310201806,0.0112502142412987,0.493188350093092
174,neutral,0.10275480132370016,0.8875875831400845,0.009657546948234964,0.49461822269947325
175,neutral,0.25222044869882515,0.7249019954251718,0.02287748143342913,0.4847030560871122
176,neutral,0.0009101400064877,0.979496175084922,0.019593599197331626,0.49019427497823825
177,neutral,0.07468085316460138,0.8994536660209712,0.02586540767482512,0.4860235196646727
178,neutral,0.0022731291433626226,0.9946230460707858,0.0031038850568282693,0.4984445217624224
179,neutral,0.004078200205443647,0.9934171344471784,0.0025046712329403285,0.49874253620181064
180,neutral,0.004663617749749397,0.993933158148374,0.00140326781772771,0.49929507863817724
181,neutral,0.0074931613391423565,0.9901552323978222,0.0023516343378951173,0.49881530575922894
182,neutral,0.00803254745503938,0.9879009745372564,0.004066508335602936,0.49795028143270087
183,neutral,0.0038436303788417273,0.993648125254766,0.0025082340333674622,0.49874104400881414
184,neutral,0.004149755239187808,0.9646112881564252,0.031238915204897494,0.4843154547242869
185,neutral,0.019567414389021227,0.9766064519103372,0.003826194433901077,0.4980487214250933
186,neutral,0.002407865550986365,0.9959982484251764,0.0015938189978394006,0.4992011669649917
187,neutral,0.003681802079856801,0.995435544252088,0.0008826824134514189,0.4995570278702992
188,neutral,0.0028320376085183923,0.9962452305144538,0.0009228201372315994,0.499537279530452
189,neutral,0.0021257983664474678,0.996133907859956,0.0017403132601345286,0.4991279896687876
190,neutral,0.005142980374931561,0.982364739754726,0.012492223542674569,0.49372159817765676
191,contradiction,0.994653708955955,0.0048276384467980105,0.0005186187424154741,0.994653708955955
192,neutral,0.015940508632635634,0.9821896767265579,0.0018699097338781894,0.49904990014852446
193,neutral,0.0061054544755660255,0.9919508574068824,0.0019436142490942305,0.49902222303045113
194,neutral,0.0029676074654874755,0.9952626418762822,0.001769688506989022,0.4991125220050243
195,neutral,0.003837310636290461,0.993448664559001,0.0027140502519804755,0.49863774752275514
196,neutral,0.0013545225870593748,0.9972271534837064,0.0014183664263480885,0.49928985490943983
197,neutral,0.0012641388211294632,0.997635366534615,0.0011004028347711043,0.49944910212064103
198,neutral,0.005457575803597982,0.9885199528495406,0.006022448978539514,0.4969722512748227
199,neutral,0.004689809393144213,0.9940227867155516,0.0012873216986412073,0.4993533062269948
200,neutral,0.0028273797905703857,0.9962707873365054,0.0009017461210001326,0.49954784849625095
201,neutral,0.008263334770109433,0.9886874914971572,0.00304921530539898,0.4984626890965698
202,neutral,0.004660623271470334,0.9855104748491944,0.00982894525816026,0.4950625158314838
203,neutral,0.0028914467771266445,0.9895074753977278,0.0076011113538180875,0.4961884234802442
204,neutral,0.01228793371414276,0.9855332840605691,0.002178730172608112,0.49889708227640645
205,neutral,0.02160802358861348,0.976081681745212,0.0023103188805233005,0.49881932861315004
206,neutral,0.0019172021110135864,0.9875426543948509,0.010540123154145473,0.49471981513395663
207,neutral,0.002233609332930013,0.9860621264262676,0.01170418577603646,0.49413480609993604
208,neutral,0.00484237064319542,0.9495155349234399,0.04564205425598037,0.4770679263504308
209,neutral,0.001132070904091965,0.974662924389706,0.024205100995653598,0.48788373419685976
210,neutral,0.0012659913402451725,0.9404871079585044,0.05824689186008596,0.47083963704516624
211,neutral,0.007566428217241598,0.9746439004625752,0.017789732807102897,0.49103731866256245
212,neutral,0.02619362202005463,0.9633852832489732,0.010421147606833749,0.494649271520175
213,contradiction,0.947140239122496,0.04980431870116885,0.003055419922664698,0.947140239122496
214,neutral,0.001045331268841316,0.9956114614317974,0.003343120967937561,0.49832669020852455
215,neutral,0.004353559993618381,0.9845992048664604,0.011047144659275638,0.49445227481397497
216,neutral,0.0005858665203612012,0.9942606589799022,0.00515344543614749,0.4974217667064252
217,neutral,0.00309327943470526,0.9882120552822662,0.008694598646803341,0.4956392112478457
218,neutral,0.00047888292166445496,0.9924091172916709,0.007111934250395427,0.49644232893373125
219,neutral,0.0015680305773002874,0.9935939862599508,0.004838022398703757,0.4975771898553195
220,entailment,0.00048584633466504764,0.01935760867703936,0.9801565397080608,0.009683509087047518
221,neutral,0.001098040492827394,0.9880422341594166,0.010859612991123098,0.49456422419174556
222,neutral,0.003460006425740928,0.9836462479335398,0.012893742232175062,0.4935307451986794
223,neutral,0.008579947502155679,0.9496030321162894,0.0418169210235499,0.4789105913739605
224,neutral,0.022871340584639563,0.971477369921254,0.005651293085123105,0.49710821445574244
225,neutral,0.0013218655778769034,0.9743969843733086,0.024281200644512627,0.4878433308102753
226,neutral,0.020359207323200148,0.9680474023600228,0.011593334226421824,0.49408286436371623
227,neutral,0.01571440830021735,0.8449680608882398,0.13931759143135694,0.4292290855286588
228,neutral,0.016354016949379317,0.9407710465062848,0.042875014395103134,0.4782060763015644
229,neutral,0.050864768480772635,0.935828440871716,0.013306833773780677,0.49299002253459034
230,neutral,0.006277837326878893,0.9511626752326025,0.04255952775148368,0.4785858021368145
231,neutral,0.01082394166349706,0.9878752639494096,0.0013007838102690973,0.4993424912515749
232,neutral,0.0015786560238455394,0.9887297924351304,0.009691509103664592,0.4951465833667973
233,contradiction,0.994154727716342,0.0043930500805357325,0.0014522782981598484,0.994154727716342
234,neutral,0.19577522523932328,0.5612336659762024,0.2429911947192221,0.3489283242816541
235,entailment,0.004159174905934428,0.21459854989494007,0.7812423096060236,0.10774741157059965
236,neutral,0.005305183633536786,0.6969101015019724,0.2977846650906668,0.3503135458776272
237,neutral,0.0018705268522592425,0.9321028743183668,0.06602662933515553,0.4669248183259418
238,neutral,0.0017478579301658185,0.7283685883600709,0.2698835087765083,0.3648219675417405
239,neutral,0.0051371960508090325,0.9913260525640496,0.003536728313125589,0.49822250445935506
240,neutral,0.011333396725934038,0.9455634779294222,0.043103103793675976,0.4782013953993703
241,neutral,0.058945797609540426,0.9063520292433264,0.034702201893419035,0.48156206053528894
242,neutral,0.0009145687504869533,0.9968552849241624,0.0022302207296744578,0.49888386893961845
243,neutral,0.0008934760866579109,0.9976429597994749,0.001463512329692942,0.49926758940587473
244,neutral,0.0005381910119805736,0.9933173815747992,0.006144385802704718,0.4969261526537293
245,neutral,0.12680346861766895,0.8407623509779609,0.03243417545874278,0.481427906274949
246,contradiction,0.6512031349094842,0.3434178049958645,0.005379018854636831,0.6512031349094842
247,contradiction,0.9125824963920459,0.08015773578459877,0.007259799133185108,0.9125824963920459
248,neutral,0.03382056176969435,0.9478800924234174,0.018299366733452508,0.4905300373755506
249,entailment,0.0012373996515906275,0.013985577476972315,0.984776977382795,0.007001452652045
250,neutral,0.08384805083918087,0.9013676707777464,0.01478418635747635,0.4919313669222338
251,neutral,0.015235277746479762,0.9654512505260816,0.019313482223467442,0.49019385972041135
252,neutral,0.001555707887165064,0.7369024042826929,0.2615418388560835,0.36902531580838055
253,contradiction,0.8829261449264542,0.08799307423336833,0.029080781140708143,0.8829261449264542
254,neutral,0.14668958758167805,0.8500638736423102,0.0032465353024280037,0.4980976821163808
255,neutral,0.008183624009908736,0.7321167220022032,0.25969967590739873,0.3690787546693351
256,contradiction,0.9709940594598704,0.026406344337067376,0.00259955999199926,0.9709940594598704
257,contradiction,0.8692524682536323,0.11210445448020807,0.018642986526981663,0.8692524682536323
258,contradiction,0.8674670025381817,0.10529918273213687,0.027233817075546903,0.8674670025381817
259,neutral,0.048256247735227735,0.7238351448851994,0.2279086134035496,0.38026787072744606
260,contradiction,0.9442818408333464,0.05016150105666317,0.005556628134084934,0.9442818408333464
261,neutral,0.0021155325613235573,0.9812513633517778,0.016633138152913958,0.4916657999358477
262,neutral,0.0009899617068811972,0.9142976716721656,0.08471234498252378,0.45760185405037596
263,neutral,0.0012404225631350455,0.7922118793487892,0.20654767610865196,0.39659789737177975
264,neutral,0.0030617670993037267,0.9940676665213024,0.002870575134056174,0.49856030443305605
265,neutral,0.00148114861525933,0.983131861261811,0.01538704092977739,0.4922950677768817
266,neutral,0.010009216098603951,0.9655044778721318,0.024486353641452543,0.48763304019491993
267,neutral,0.027778889212340282,0.8832451059543498,0.08897592189904249,0.4542408982371549
268,contradiction,0.9751757408454126,0.020386092021966232,0.004438185950126769,0.9751757408454126
269,neutral,0.015351035885239759,0.9710058607599558,0.013643113664243952,0.49307209268550645
270,neutral,0.006502827677283604,0.9381842035980816,0.05531297691440512,0.47216248923531295
271,neutral,0.015306230142274222,0.9830256394235656,0.001668174805933025,0.4991529474533978
272,neutral,0.0014463632670319775,0.9583422103663638,0.0402114596470806,0.47986514853701395
273,contradiction,0.9983679509569036,0.0011867486556304688,0.00044537827094623937,0.9983679509569036
274,neutral,0.10073251360764296,0.6766870038751253,0.2225804745470228,0.37624345376218776
275,entailment,0.009388062305593574,0.2620217684499757,0.7285902078957178,0.13225247357525288
276,entailment,0.0018748863595917328,0.1562754676450361,0.8418496233956122,0.07828451015198046
277,neutral,0.0022241736462976624,0.9294166505482664,0.06835913594581752,0.46574423990282765
278,neutral,0.0068367413689883,0.8468042477911616,0.14635904108951378,0.4263167282116998
279,neutral,0.0013053774998567226,0.9918632437493652,0.006831410068582356,0.4965798304604584
280,neutral,0.013454166627475941,0.9412999304302538,0.04524590801567708,0.4770685221849644
281,neutral,0.0181942792058581,0.9279502375014872,0.053855455646241966,0.4725732616840008
282,neutral,0.0007776544182960136,0.9972751681840047,0.0019472060850828246,0.49902563926948335
283,neutral,0.0005918351363174462,0.9911538722949796,0.008254265320402021,0.4958704231986259
284,neutral,0.0006473442760002368,0.9712476878637994,0.028104957580832285,0.48593841838066687
285,neutral,0.05488708168694167,0.914588251706331,0.030524616843166832,0.48385133783544065
286,neutral,0.23255580105785564,0.7563129495354123,0.011131176765065271,0.492747891094871
287,neutral,0.05224873757689572,0.9338707545465084,0.013880453452651272,0.4926771639352721
288,neutral,0.00991740605141407,0.982444125041794,0.007638458963740741,0.4961425142270263
289,entailment,0.0006322538895161879,0.036169732349876034,0.9631980080592404,0.01809630773906562
290,contradiction,0.9567971456580878,0.03623814711927384,0.006964732650969663,0.9567971456580878
291,neutral,0.007133630483467414,0.9857131310290946,0.007153137956461129,0.49639773342095217
292,neutral,0.002055257596428582,0.7977219561771656,0.2002228009472908,0.3996824225399881
293,contradiction,0.9944185960416664,0.0038869152640398493,0.001694513415848425,0.9944185960416664
294,neutral,0.08018799435524583,0.915530631539636,0.0042813090808335045,0.49767272586288375
295,entailment,0.01810772000412856,0.3163642923015155,0.6655280271256436,0.1610992804618759
296,contradiction,0.8604572427023679,0.1299880485441149,0.009554700689200654,0.8604572427023679
297,contradiction,0.8772514236459135,0.09377584314145716,0.028972675957451375,0.8772514236459135
298,contradiction,0.9072645550822164,0.0694869743791073,0.023248461233919174,0.9072645550822164
299,neutral,0.33739364771258584,0.5778749177131376,0.08473149389955224,0.4360619725265502
300,contradiction,0.7020959522258153,0.21181924619347625,0.08608484462906599,0.7020959522258153
301,neutral,0.0175275130301323,0.979779553744265,0.0026928908229670078,0.4986295336638407
302,neutral,0.015276357052510868,0.9825839427715052,0.0021396197524888006,0.49891359370593075
303,neutral,0.0011522976079702788,0.9916697741466836,0.007177923335623622,0.4964068979916977
304,neutral,0.004426451836375052,0.9774347550799206,0.01813883066047335,0.4908902611920023
305,neutral,0.06142875835999479,0.9180824034131796,0.020488856491095327,0.48908508209958135
306,neutral,0.0005545439348571049,0.9919962534187244,0.007449249494476534,0.49627330881335535
307,neutral,0.0009447749125796553,0.9901097703311036,0.008945427099637747,0.49552305662257573
308,neutral,0.010035974520408974,0.9844723305928248,0.005491619113475491,0.49722635399243337
309,neutral,0.0009476982399786733,0.9891255949300432,0.009926698133669195,0.4950319426707746
310,neutral,0.0012045638523328747,0.9977742018709036,0.0010212914973377323,0.49948873843338354
311,neutral,0.000777909209604133,0.9965312819556912,0.0026908743037498627,0.49865351549358
312,neutral,0.009986561590270416,0.9679438578174724,0.022069555611960175,0.48885391080939467
313,neutral,0.0010460712345628142,0.984937582572504,0.014016421493744586,0.4929844510174189
314,neutral,0.0012956939996096914,0.9630121325234032,0.035692074616500764,0.48213080792023694
315,neutral,0.0012330951572590064,0.9517225309024556,0.047044385451473485,0.4764487666335543
316,neutral,0.002569779001996275,0.8606724837345187,0.13675765400377032,0.43144499608069115
317,entailment,0.000815752035364013,0.035247093747148094,0.9639371397519692,0.017637935310344962
318,neutral,0.003448350047860913,0.9940701402557242,0.002481589323893213,0.4987549119377175
319,neutral,0.0011550145807106109,0.9916142094484598,0.007230730388562356,0.4963804540123404
320,neutral,0.0022982949674000466,0.9911236583707947,0.006578056753534148,0.496703395086018
321,neutral,0.0008805632258608217,0.9816171918183566,0.017502290731253242,0.4912411423073295
322,neutral,0.002812794963378538,0.9959925720197532,0.0011947129417887886,0.49940095859634087
323,neutral,0.004157362611172218,0.9876648560561992,0.008177792216070717,0.4958940339468998
324,neutral,0.06534361610357994,0.9242506562170508,0.010405714801648884,0.49443340080680803
325,neutral,0.15417294526962674,0.838542821769016,0.007284255902049994,0.49569400407344094
326,neutral,0.04940668950611383,0.9448527781523284,0.005740613735738696,0.4969805103923894
327,neutral,0.0047141987964220795,0.9821673665830888,0.01311837725367235,0.49340974321449543
328,neutral,0.003555316061006653,0.9356662335551602,0.06077842408127924,0.46950235840219906
