,first_index,second_index,first,second
39,4,10,Gaining knowledge and putting it to good use are important to you.,Pessimism and being too self-critical are two faults you should try to improve upon.
40,5,6,You strive for perfection.,You can be quite the person to live with or to be around because your standards for yourself and others are so high.
41,5,7,You strive for perfection.,"At times others can never be ""good"" enough to meet those high standards."
42,5,8,You strive for perfection.,Finding fault with what's wrong with things is your forte.
43,5,9,You strive for perfection.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
44,5,10,You strive for perfection.,Pessimism and being too self-critical are two faults you should try to improve upon.
45,6,7,You can be quite the person to live with or to be around because your standards for yourself and others are so high.,"At times others can never be ""good"" enough to meet those high standards."
46,6,8,You can be quite the person to live with or to be around because your standards for yourself and others are so high.,Finding fault with what's wrong with things is your forte.
47,6,9,You can be quite the person to live with or to be around because your standards for yourself and others are so high.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
48,6,10,You can be quite the person to live with or to be around because your standards for yourself and others are so high.,Pessimism and being too self-critical are two faults you should try to improve upon.
49,7,8,"At times others can never be ""good"" enough to meet those high standards.",Finding fault with what's wrong with things is your forte.
50,7,9,"At times others can never be ""good"" enough to meet those high standards.","Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
51,7,10,"At times others can never be ""good"" enough to meet those high standards.",Pessimism and being too self-critical are two faults you should try to improve upon.
52,8,9,Finding fault with what's wrong with things is your forte.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do."
53,8,10,Finding fault with what's wrong with things is your forte.,Pessimism and being too self-critical are two faults you should try to improve upon.
54,9,10,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",Pessimism and being too self-critical are two faults you should try to improve upon.
